comment,user_id
The app crashes every time I try to export my data. This is frustrating!,user_001
Love the new update! The interface is so much cleaner and faster.,user_002
How do I reset my password? Can't find the option anywhere.,user_003
Feature request: Please add dark mode support!,user_004
This is the worst app I've ever used. Completely unreliable.,user_005
The search function doesn't work properly when using special characters.,user_006
Amazing customer support! They resolved my issue in minutes.,user_007
Is there a way to bulk delete items?,user_008
Please add support for multiple languages.,user_009
The app is okay but could use some improvements.,user_010
